dt_referencia;no_produto;no_tipo;vr_real;vr_dolar
1997-05-08;algodao_8_dias;algodao;86.94;81.64
1997-05-08;cafe_arabica;cafe;234.51;220.21
1997-05-09;algodao_8_dias;algodao;86.86;81.47
1997-05-09;cafe_arabica;cafe;234.17;219.65
1997-05-12;algodao_8_dias;algodao;86.34;80.94
1997-05-12;cafe_arabica;cafe;240.42;225.39
1997-05-13;cafe_arabica;cafe;244.76;229.3
1997-05-13;algodao_8_dias;algodao;86.23;80.79
1997-05-14;cafe_arabica;cafe;244.89;229.34
1997-05-14;algodao_8_dias;algodao;86.36;80.88
1997-05-15;algodao_8_dias;algodao;86.25;80.8
1997-05-15;cafe_arabica;cafe;251.43;235.53
1997-05-16;algodao_8_dias;algodao;86.1;80.67
1997-05-16;cafe_arabica;cafe;251.18;235.34
1997-05-19;cafe_arabica;cafe;249.44;233.6
1997-05-19;algodao_8_dias;algodao;86.32;80.84
1997-05-20;cafe_arabica;cafe;247.15;231.39
1997-05-20;algodao_8_dias;algodao;86.36;80.85
1997-05-21;cafe_arabica;cafe;255.02;238.65
1997-05-21;algodao_8_dias;algodao;86.42;80.87
1997-05-22;cafe_arabica;cafe;265.94;248.66
1997-05-22;algodao_8_dias;algodao;86.91;81.26
1997-05-23;cafe_arabica;cafe;265.31;247.93
1997-05-23;algodao_8_dias;algodao;86.76;81.08
1997-05-26;cafe_arabica;cafe;265.42;247.64
1997-05-26;algodao_8_dias;algodao;86.65;80.85
1997-05-27;cafe_arabica;cafe;278.41;259.32
1997-05-27;algodao_8_dias;algodao;86.74;80.79
1997-05-28;algodao_8_dias;algodao;86.4;80.54
1997-05-28;cafe_arabica;cafe;300.35;280.0
1997-05-30;algodao_8_dias;algodao;86.55;80.76
1997-05-30;cafe_arabica;cafe;282.38;263.49
1997-06-02;algodao_8_dias;algodao;86.43;80.73
1997-06-02;cafe_arabica;cafe;258.31;241.28
1997-06-03;cafe_arabica;cafe;266.97;249.21
1997-06-03;algodao_8_dias;algodao;86.62;80.86
1997-06-04;cafe_arabica;cafe;267.33;249.26
1997-06-04;algodao_8_dias;algodao;86.78;80.91
1997-06-05;algodao_8_dias;algodao;86.64;80.75
1997-06-05;cafe_arabica;cafe;257.51;240.01
1997-06-06;algodao_8_dias;algodao;86.81;80.93
1997-06-06;cafe_arabica;cafe;263.12;245.28
1997-06-09;cafe_arabica;cafe;269.85;251.56
1997-06-09;algodao_8_dias;algodao;86.96;81.07
1997-06-10;algodao_8_dias;algodao;87.46;81.53
1997-06-10;cafe_arabica;cafe;250.39;233.42
1997-06-11;cafe_arabica;cafe;244.2;227.54
1997-06-11;algodao_8_dias;algodao;87.43;81.47
1997-06-12;algodao_8_dias;algodao;87.94;81.92
1997-06-12;cafe_arabica;cafe;253.04;235.72
1997-06-13;algodao_8_dias;algodao;88.51;82.37
1997-06-13;cafe_arabica;cafe;236.14;219.77
1997-06-16;algodao_8_dias;algodao;88.79;82.71
1997-06-16;cafe_arabica;cafe;230.4;214.62
1997-06-17;algodao_8_dias;algodao;88.89;82.77
1997-06-17;cafe_arabica;cafe;242.38;225.7
1997-06-18;algodao_8_dias;algodao;89.2;82.99
1997-06-18;cafe_arabica;cafe;231.55;215.44
1997-06-19;cafe_arabica;cafe;241.77;224.8
1997-06-19;algodao_8_dias;algodao;89.28;83.01
1997-06-20;cafe_arabica;cafe;240.8;223.44
1997-06-20;algodao_8_dias;algodao;89.66;83.2
1997-06-23;cafe_arabica;cafe;234.3;217.69
1997-06-23;algodao_8_dias;algodao;89.22;82.9
1997-06-24;algodao_8_dias;algodao;90.28;83.83
1997-06-24;cafe_arabica;cafe;230.68;214.18
1997-06-25;algodao_8_dias;algodao;90.33;83.91
1997-06-25;cafe_arabica;cafe;228.49;212.25
1997-06-26;algodao_8_dias;algodao;90.39;83.97
1997-06-26;cafe_arabica;cafe;216.36;200.98
1997-06-27;cafe_arabica;cafe;213.79;198.49
1997-06-27;algodao_8_dias;algodao;90.38;83.91
1997-06-30;algodao_8_dias;algodao;90.5;84.01
1997-06-30;cafe_arabica;cafe;216.52;201.0
1997-07-01;cafe_arabica;cafe;216.54;201.08
1997-07-01;algodao_8_dias;algodao;90.72;84.24
1997-07-02;cafe_arabica;cafe;212.75;197.52
1997-07-02;algodao_8_dias;algodao;90.84;84.34
1997-07-03;cafe_arabica;cafe;209.18;194.16
1997-07-03;algodao_8_dias;algodao;91.04;84.5
1997-07-04;algodao_8_dias;algodao;91.72;85.12
1997-07-04;cafe_arabica;cafe;207.24;192.32
1997-07-07;algodao_8_dias;algodao;92.01;85.37
1997-07-07;cafe_arabica;cafe;197.63;183.36
1997-07-08;algodao_8_dias;algodao;91.76;85.04
1997-07-08;cafe_arabica;cafe;201.62;186.85
1997-07-10;cafe_arabica;cafe;187.71;173.9
1997-07-10;algodao_8_dias;algodao;92.32;85.53
1997-07-11;cafe_arabica;cafe;193.34;179.0
1997-07-11;algodao_8_dias;algodao;92.47;85.61
1997-07-14;cafe_arabica;cafe;193.33;178.93
1997-07-14;algodao_8_dias;algodao;92.35;85.47
1997-07-15;algodao_8_dias;algodao;92.45;85.56
1997-07-15;cafe_arabica;cafe;188.82;174.75
1997-07-16;cafe_arabica;cafe;190.88;176.62
1997-07-16;algodao_8_dias;algodao;92.21;85.32
1997-07-17;cafe_arabica;cafe;189.09;175.0
